target_id,module,submodule,source_key,observable,reported_data,model_targets,priority,notes
dosimetry_orlacchio_2023,A1,Pulse delivery and dosimetry,orlacchio2023effects,Viability/growth versus pulse duration PRR buffer conductivity energy and temperature,"2-10 ns pulses; 20 and 200 Hz PRR; cumulative on-time 1-5 us; absorbed energy up to 81 mJ/mm3 in low-conductivity buffer and 700 mJ/mm3 in HBSS","waveform_energy_factor; thermal_retention_factor; conductivity_S_m; dose_to_damage_scale",high,Use to calibrate setup-specific energy and thermal retention before interpreting downstream biology.
dosimetry_beebe_2003,A1,Pulse delivery and dosimetry,beebe2003nanosecond,Energy-density relation and apoptosis/poration response,"10-300 ns pulses; up to 300 kV/cm; energy density W = E^2 tau / rho with suspension resistivity reported as 130 ohm cm","legacy_energy_density; pulse_width_scaling; dose_index",medium,Useful for preserving a transparent historical dose descriptor.
electro_baker_2024,A3,Organelle electrodynamics,baker2024numerical,Geometry proximity and multi-electrode effects on organelle electroporation,"3D cell/organelle simulations; ER threshold discussion near 88 kV/cm; 100 ns 75 kV/cm examples","geometry_factor; organelle_voltage_fraction_ER; organelle_voltage_fraction_mito; field_uniformity_factor",high,Best source for replacing fixed organelle fractions with geometry-informed priors.
electro_pakhomov_2007,A3,Permeability recovery,pakhomov2007long,Patch-clamp membrane resistance recovery after nsPEF,"Single 60 ns 12 kV/cm pulse reduced resistance about threefold at 80-120 s; five pulses reduced GH3 resistance about tenfold; recovery could take 15 min","pore_conductance_scale; tau_pore_reseal_s; pulse_number_permeability_scale",high,Direct calibration target for conductance decay and residual permeability.
electro_pakhomov_membrane_2007,A3,Plasma-membrane nanopores,pakhomov2007membrane,Conductance pores and ionic selectivity,"60 ns 12 kV/cm increased passive conductance; pores permeable to chloride and alkali cations but not propidium iodide; long trains up to 200 pulses caused swelling/blebbing","ion_pore_conductance_scale; pore_size_proxy; osmotic_damage_scale",high,Connects nanopore conductance to Na/K/Cl and osmotic-stress states.
electro_nesin_2012,A3,Permeability and channel modulation,nesin2012cell,Leak current and VG Ca/Na channel inhibition,"Single 300 or 600 ns pulse at or above 1.5-2 kV/cm increased leak current and prolonged inhibition of voltage-gated Ca2+ and Na+ currents","VGCC_activation_scale; ion_channel_inhibition_scale; leak_current_proxy",high,Supports separating electropore leak from voltage-gated channel effects.
ca_semenov_primary_2013,A5,Ca2+ influx and ER release,semenov2013primary,Cytosolic Ca2+ response thresholds and slope,"Single 60 ns pulse; external Ca2+ threshold near 9 kV/cm; ER release threshold near 19 kV/cm; 8-10 nM per kV/cm response slope; 200-300 nM CICR threshold","Ca_pore_gain; ER_release_threshold; ER_release_gain; CICR_threshold_uM",high,Strongest quantitative target for reduced Ca2+ ODE calibration.
ca_semenov_duration_2013,A5,ER Ca2+ release,semenov2013recruitment,Pulse-duration dependence of intracellular Ca2+ recruitment,"10 60 and 300 ns stimuli in Ca2+-free medium evoked ER-derived Ca2+ transients; intracellular recruitment increased as pulse duration decreased","ER_pulse_width_sensitivity; organelle_voltage_fraction_ER; CICR_threshold_uM",high,Useful for short-pulse organelle-access scaling.
ca_bagalkot_2018,A5,Ca2+ influx,bagalkot2018membrane,Peak Ca2+ dose response in chromaffin cells,"150 200 and 400 ns pulses; field amplitudes roughly 0.9-8.7 kV/cm; responses depend on pulse duration and membrane pathway","Ca_pore_gain; VGCC_activation_scale; pulse_width_Ca_scale",high,Useful for separating pore-mediated and channel-mediated Ca2+ entry in excitable cells.
ca_yun_2024,A5,VGCC-mediated Ca2+ influx,yun2024modulating,Short-pulse Ca2+ influx in chromaffin cells,"Single 2 4 and 5 ns pulses induced rapid transient Ca2+ rise mediated by voltage-gated Ca2+ channels","VGCC_activation_scale; pulse_width_Ca_scale; Ca_clearance_tau",medium,Cell-type-specific extension for neuroendocrine or excitable producer cells.
ros_nuccitelli_2013,A5,ROS generation,nuccitelli2013reactive,ROS response to nsPEF pulse number and Ca2+ dependence,"100 ns 30 kV/cm nsPEF stimulated ROS proportional to pulse number; response inhibited by Trolox and Ca2+ chelation","ROS_pulse_factor_s; ROS_Ca_factor; ROS_clearance_tau",high,Direct target for pulse- and Ca-linked ROS source terms.
atp_radzeviciute_2024,A5,ATP and calcium electroporation,radzeviciute2024calcium,ATP depletion versus nsPEF calcium electroporation dose,"100 and 600 ns pulses at 5 and 10 kV/cm in bursts of 10 50 and 100; 2 and 5 mM external calcium; calcium electroporation caused several-fold stronger ATP depletion","ATP_depletion_factor; ATP_pump_cost_factor; ATP_damage_threshold; Ca_toxicity_scale",high,Useful for ATP/damage coupling but should be treated as high-Ca injury context.
repair_bhattacharya_2022,A7,Membrane resealing,bhattacharya2022calcium,Membrane repair kinetics after nano- and microsecond EP,"300 or 600 ns pulses near 14 kV/cm; 2 mM Ca2+ advanced 90% resealing and reduced dye uptake about twofold; fast tau 13-15 s and slow tau about 70 s with Ca2+ versus 110 s or more without Ca2+","tau_repair_s; resealing_annexin_weight; resealing_lysosome_weight; pore_reseal_fast_fraction",high,Best near-term target for replacing provisional repair time constants.
repair_muratori_2021,A7,ESCRT/annexin repair,muratori2021role,Membrane resealing and repair factor contribution after 300 ns pulses,"300 ns nsPEF dye-uptake time courses; extracellular Ca2+ potentiated resealing; ESCRT-III and annexin V perturbations tested","resealing_annexin_weight; ESCRT_repair_weight; tau_repair_s",high,Supports explicit repair-effector weights rather than one generic resealing rate.
ps_muratori_2017,A7,Scramblase/PS exposure,muratori2017activation,TMEM16F-dependent PS exposure and blebbing,"300 ns 25.5 kV/cm pulse; Tmem16f knockdown and TMEM16F inhibition reduced PS exposure by 49% and 42%; blebbing fell from 53% control to 20% silenced; Ca2+ transient decreased 25%","K_scramblase_uM; PS_max; actin_ps_weight; shedding_rate_scale",high,Direct target for scramblase/PS and PS-to-budding coupling.
ps_silkunas_2026,A7,Scramblase/PS exposure,silkunas2026peculiarities,Spatial PS puncta kinetics after nano- and microsecond pulses,"20 us 1.2-2.5 kV/cm produced PS puncta within about 10 s; 400 ns 9.3-13.7 kV/cm delayed about 1 min; 80-120 freckles per 100 um2 within 5 min; FWHM about 0.35 um","PS_exposure_tau_s; PS_site_density; microdomain_pore_gain",high,Useful for adding PS kinetics and spatial-site proxies if needed.
repair_williams_2023,A9,MVB/exosome release,williams2023annexin,Ca2+-dependent exosome secretion during repair,"Ionomycin 5 uM induced exosome secretion within 2 min and completion by 10 min; SLO 400-800 ng/ml induced Ca2+-dependent exosome secretion with 1.8 mM CaCl2","K_sEV_Ca_uM; sEV_Ca_scale; MVB_fusion_tau_s",medium,Layer 5/9 target once EV release kinetics are expanded.
repair_williams_2025,A7,Calpain and repair shedding,williams2025calpains,Annexin-containing microvesicle shedding during repair,"Annexin A2 recruitment occurred within less than 1 min after ablation; annexin-positive vesicles were shed over 5-10 min; calpain dependence tested","K_calpain_uM; actin_calpain_weight; shedding_rate_scale; repair_shedding_tau_s",medium,Supports calpain-to-shedding coupling; not nsPEF-specific but mechanistically close.
actin_hellwich_2026,A7,Actomyosin remodeling,hellwich2026extracellular,Ca2+-dependent cytoskeletal remodeling and swelling after nsPEF,"200 pulses of 300 ns at 10 Hz; 0 2 and 5 mM CaCl2 buffers; actin cortex shrinkage and fluorescence reduction occurred only with extracellular Ca2+","actin_calpain_weight; actin_osmotic_weight; microdomain_osmotic_gain; osmotic_damage_scale",high,Strong target for Ca2+-dependent actin remodeling and swelling branch.
